provinsi,kabupaten,kecamatan,stasiun,lon,lat,hth,ihth
DKI JAKARTA,JAKARTA PUSAT,Menteng,Angke Hulu,106.6943,-6.2183,77,6
DKI JAKARTA,JAKARTA SELATAN,Jagakarsa,Ciganjur,106.7823,-6.3504,2,1
JAWA BARAT,DEPOK,,Depok,106.8300,-6.4500,2,1
DKI JAKARTA,JAKARTA TIMUR,Halim,Halim,106.8833,-6.2783,3,1
DKI JAKARTA,JAKARTA PUSAT,Gambir,Istana,106.8230,-6.1683,83,6
DKI JAKARTA,JAKARTA PUSAT,Tanah Abang,Karet PA,106.8101,-6.1983,77,6
DKI JAKARTA,JAKARTA BARAT,Kebon Jeruk,Kedoya Selatan,106.7500,-6.1833,2,1
DKI JAKARTA,,,Kembangan Utara,106.7321,-6.1746,83,6
DKI JAKARTA,JAKARTA SELATAN,Jagakarsa,Krukut Hulu,106.7990,-6.3444,2,1
DKI JAKARTA,JAKARTA SELATAN,Cilandak,Lebak Bulus,106.7774,-6.3042,2,1
DKI JAKARTA,JAKARTA SELATAN,Tebet,Manggarai,106.8486,-6.2073,83,6
DKI JAKARTA,JAKARTA SELATAN,Kebayoran Baru,Pakubuwono,106.7933,-6.2333,2,1
DKI JAKARTA,JAKARTA SELATAN,Pasar Minggu,Pasar Minggu,106.8364,-6.2860,3,1
DKI JAKARTA,DEPOK,,Pesanggrahan,106.7720,-6.3970,2,1
DKI JAKARTA,JAKARTA PUSAT,Gambir,Pompa Cideng,106.8067,-6.1736,57,5
DKI JAKARTA,JAKARTA TIMUR,Pulogadung,Pulogadung,106.9045,-6.1909,84,6
DKI JAKARTA,JAKARTA SELATAN,Pasar Minggu,Ragunan,106.8214,-6.2945,2,1
DKI JAKARTA,JAKARTA UTARA,Cilincing,Rorotan,106.9598,-6.1326,106,6
DKI JAKARTA,JAKARTA SELATAN,Setiabudi,Setiabudi Timur,106.8293,-6.2047,83,6
DKI JAKARTA,JAKARTA UTARA,Tanjung Priok,Stamar Tanjung Priok,106.8900,-6.1300,84,6
DKI JAKARTA,JAKARTA PUSAT,Kemayoran,Stamet Kemayoran,106.8500,-6.1800,84,6
DKI JAKARTA,JAKARTA TIMUR,Cipayung,Sunter Hulu,106.9215,-6.3176,3,1
DKI JAKARTA,JAKARTA UTARA,Koja,Sunter III Rawabadak,106.8966,-6.1209,106,6
DKI JAKARTA,JAKARTA UTARA,Kelapa Gading,Sunter Kodamar,106.8870,-6.1551,84,6
DKI JAKARTA,JAKARTA UTARA,Penjaringan,Tanjungan,106.7258,-6.1068,83,6
DKI JAKARTA,JAKARTA UTARA,Penjaringan,Teluk Gong,106.7777,-6.1336,83,6
DKI JAKARTA,JAKARTA BARAT,Grogol Petamburan,Tomang Barat,106.7799,-6.1672,57,5
DKI JAKARTA,JAKARTA PUSAT,Tanah Abang,Waduk Melati,106.8178,-6.2010,4,1
BANTEN,LEBAK,Lebak Gedong,Banjar Irigasi Cipanas,106.4113,-6.5694,2,1
BANTEN,LEBAK,,Banjarsari,105.9998,-6.5574,33,5
BANTEN,LEBAK,Leuwidamar,Bantarjaya,106.2353,-6.4750,1,1
BANTEN,LEBAK,Bayah,Bayah,106.2442,-6.9330,100,6
