"Provinsi" "Kabupaten" "Kecamatan" "Status" "Warna"
"BANTEN" "KAB. PANDEGLANG" "ANGSANA" "No_Status" "No_Status"
"BANTEN" "KAB. PANDEGLANG" "BANJAR" "Siaga" "Orange"
"BANTEN" "KAB. PANDEGLANG" "BOJONG" "No_Status" "No_Status"
"BANTEN" "KAB. PANDEGLANG" "CADASARI" "Siaga" "Orange"
"BANTEN" "KAB. PANDEGLANG" "CARITA" "No_Status" "No_Status"
"BANTEN" "KAB. PANDEGLANG" "CIBALIUNG" "Waspada" "Yellow"
"BANTEN" "KAB. PANDEGLANG" "CIBITUNG" "Siaga" "Orange"
"BANTEN" "KAB. PANDEGLANG" "CIGEULIS" "Siaga" "Orange"
"BANTEN" "KAB. PANDEGLANG" "CIKEDAL" "Waspada" "Yellow"
"BANTEN" "KAB. PANDEGLANG" "CIKEUSIK" "Waspada" "Yellow"
"BANTEN" "KAB. PANDEGLANG" "CIMANGGU" "Siaga" "Orange"
"BANTEN" "KAB. PANDEGLANG" "CIMANUK" "Waspada" "Yellow"
"BANTEN" "KAB. PANDEGLANG" "CIPEUCANG" "No_Status" "No_Status"
"BANTEN" "KAB. PANDEGLANG" "CISATA" "Siaga" "Orange"
"BANTEN" "KAB. PANDEGLANG" "JIPUT" "Waspada" "Yellow"
"BANTEN" "KAB. PANDEGLANG" "KADUHEJO" "Siaga" "Orange"
"BANTEN" "KAB. PANDEGLANG" "KARANG TANJUNG" "Waspada" "Yellow"
"BANTEN" "KAB. PANDEGLANG" "KORONCONG" "No_Status" "No_Status"
"BANTEN" "KAB. PANDEGLANG" "LABUHAN" "No_Status" "No_Status"
"BANTEN" "KAB. PANDEGLANG" "MAJASARI" "Siaga" "Orange"
"BANTEN" "KAB. PANDEGLANG" "MANDALAWANGI" "Siaga" "Orange"
"BANTEN" "KAB. PANDEGLANG" "MEKAR JAYA" "Siaga" "Orange"
"BANTEN" "KAB. PANDEGLANG" "MENES" "Siaga" "Orange"
"BANTEN" "KAB. PANDEGLANG" "MUNJUL" "Waspada" "Yellow"
"BANTEN" "KAB. PANDEGLANG" "PAGELARAN" "No_Status" "No_Status"
"BANTEN" "KAB. PANDEGLANG" "PANDEGLANG" "Waspada" "Yellow"
"BANTEN" "KAB. PANDEGLANG" "PANIMBANG" "Siaga" "Orange"
"BANTEN" "KAB. PANDEGLANG" "PATIA" "No_Status" "No_Status"
"BANTEN" "KAB. PANDEGLANG" "PICUNG" "Siaga" "Orange"
"BANTEN" "KAB. PANDEGLANG" "PULOSARI" "Siaga" "Orange"
"BANTEN" "KAB. PANDEGLANG" "SAKETI" "Waspada" "Yellow"
"BANTEN" "KAB. PANDEGLANG" "SOBANG" "Siaga" "Orange"
"BANTEN" "KAB. PANDEGLANG" "SUKARESMI" "Siaga" "Orange"
"BANTEN" "KAB. PANDEGLANG" "SUMUR" "Siaga" "Orange"
"BANTEN" "KAB. SERANG" "ANYER" "Siaga" "Orange"
"BANTEN" "KAB. SERANG" "BANDUNG" "Waspada" "Yellow"
"BANTEN" "KAB. SERANG" "BAROS" "No_Status" "No_Status"
"BANTEN" "KAB. SERANG" "BINUANG" "Siaga" "Orange"
"BANTEN" "KAB. SERANG" "BOJONEGARA" "Siaga" "Orange"
"BANTEN" "KAB. SERANG" "CARENANG" "Siaga" "Orange"
"BANTEN" "KAB. SERANG" "CIKANDE" "Siaga" "Orange"
"BANTEN" "KAB. SERANG" "CIKEUSAL" "Waspada" "Yellow"
"BANTEN" "KAB. SERANG" "CINANGKA" "Waspada" "Yellow"
"BANTEN" "KAB. SERANG" "CIOMAS" "Waspada" "Yellow"
"BANTEN" "KAB. SERANG" "CIRUAS" "Siaga" "Orange"
"BANTEN" "KAB. SERANG" "GUNUNGSARI" "Siaga" "Orange"
"BANTEN" "KAB. SERANG" "JAWILAN" "Siaga" "Orange"
"BANTEN" "KAB. SERANG" "KIBIN" "Waspada" "Yellow"
"BANTEN" "KAB. SERANG" "KOPO" "Siaga" "Orange"
"BANTEN" "KAB. SERANG" "KRAGILAN" "No_Status" "No_Status"
"BANTEN" "KAB. SERANG" "KRAMATWATU" "No_Status" "No_Status"
"BANTEN" "KAB. SERANG" "MANCAK" "Waspada" "Yellow"
"BANTEN" "KAB. SERANG" "PABUARAN" "Siaga" "Orange"
"BANTEN" "KAB. SERANG" "PADARINCANG" "Waspada" "Yellow"
"BANTEN" "KAB. SERANG" "PAMARAYAN" "Waspada" "Yellow"
"BANTEN" "KAB. SERANG" "PETIR" "Siaga" "Orange"
"BANTEN" "KAB. SERANG" "PONTANG" "No_Status" "No_Status"
"BANTEN" "KAB. SERANG" "PULOAMPEL" "Siaga" "Orange"
"BANTEN" "KAB. SERANG" "TANARA" "Siaga" "Orange"
"BANTEN" "KAB. SERANG" "TENJUNG TEJA" "Siaga" "Orange"
"BANTEN" "KAB. SERANG" "TIRTAYASA" "Siaga" "Orange"
"BANTEN" "KAB. SERANG" "WARINGINKURUNG" "Siaga" "Orange"
"BANTEN" "KAB. TANGERANG" "BALARAJA" "Waspada" "Yellow"
"BANTEN" "KAB. TANGERANG" "CIKUPA" "Siaga" "Orange"
"BANTEN" "KAB. TANGERANG" "CISAUK" "Siaga" "Orange"
"BANTEN" "KAB. TANGERANG" "CISOKA" "No_Status" "No_Status"
"BANTEN" "KAB. TANGERANG" "CURUG" "Siaga" "Orange"
"BANTEN" "KAB. TANGERANG" "GUNUNGKALER" "Waspada" "Yellow"
"BANTEN" "KAB. TANGERANG" "JAMBE" "Siaga" "Orange"
"BANTEN" "KAB. TANGERANG" "JAYANTI" "No_Status" "No_Status"
"BANTEN" "KAB. TANGERANG" "KEMIRI" "Siaga" "Orange"
"BANTEN" "KAB. TANGERANG" "KOSAMBI" "Siaga" "Orange"
"BANTEN" "KAB. TANGERANG" "KRESEK" "No_Status" "No_Status"
"BANTEN" "KAB. TANGERANG" "KRONJO" "Waspada" "Yellow"
"BANTEN" "KAB. TANGERANG" "LEGOK" "Waspada" "Yellow"
"BANTEN" "KAB. TANGERANG" "MAUK" "Waspada" "Yellow"
"BANTEN" "KAB. TANGERANG" "MEKARBARU" "No_Status" "No_Status"
"BANTEN" "KAB. TANGERANG" "PAGEDANGAN" "Siaga" "Orange"
"BANTEN" "KAB. TANGERANG" "PAKUHAJI" "Siaga" "Orange"
"BANTEN" "KAB. TANGERANG" "PANONGAN" "Waspada" "Yellow"
"BANTEN" "KAB. TANGERANG" "PASAR KEMIS" "Waspada" "Yellow"
"BANTEN" "KAB. TANGERANG" "RAJEG" "Siaga" "Orange"
"BANTEN" "KAB. TANGERANG" "SEPATAN" "Waspada" "Yellow"
"BANTEN" "KAB. TANGERANG" "SEPATAN TIMUR" "Siaga" "Orange"
"BANTEN" "KAB. TANGERANG" "SINDANGJAYA" "Siaga" "Orange"
"BANTEN" "KAB. TANGERANG" "SOLEAR" "No_Status" "No_Status"
"BANTEN" "KAB. TANGERANG" "SUKADIRI" "Siaga" "Orange"
"BANTEN" "KAB. TANGERANG" "SUKAMULYA" "Waspada" "Yellow"
"BANTEN" "KAB. TANGERANG" "TELUKNAGA" "Siaga" "Orange"
"BANTEN" "KAB. TANGERANG" "TIGARAKSA" "Siaga" "Orange"
"BANTEN" "KAB. LEBAK" "BANJARSARI" "Waspada" "Yellow"
"BANTEN" "KAB. LEBAK" "BAYAH" "Waspada" "Yellow"
"BANTEN" "KAB. LEBAK" "BOJONGMANIK" "Waspada" "Yellow"
"BANTEN" "KAB. LEBAK" "CIBADAK" "Siaga" "Orange"
"BANTEN" "KAB. LEBAK" "CIBEBER" "Waspada" "Yellow"
"BANTEN" "KAB. LEBAK" "CIGEMBLONG" "Waspada" "Yellow"
"BANTEN" "KAB. LEBAK" "CIHARA" "Waspada" "Yellow"
"BANTEN" "KAB. LEBAK" "CIJAKU" "Waspada" "Yellow"
"BANTEN" "KAB. LEBAK" "CIKULUR" "No_Status" "No_Status"
"BANTEN" "KAB. LEBAK" "CILELES" "Siaga" "Orange"
"BANTEN" "KAB. LEBAK" "CILOGRANG" "Siaga" "Orange"
"BANTEN" "KAB. LEBAK" "CIMARGA" "Waspada" "Yellow"
"BANTEN" "KAB. LEBAK" "CIPANAS" "Siaga" "Orange"
"BANTEN" "KAB. LEBAK" "CIRINTEN" "Waspada" "Yellow"
"BANTEN" "KAB. LEBAK" "CURUG BITUNG" "Waspada" "Yellow"
"BANTEN" "KAB. LEBAK" "GUNUNG KENCANA" "Waspada" "Yellow"
"BANTEN" "KAB. LEBAK" "KALANGANYAR" "No_Status" "No_Status"
"BANTEN" "KAB. LEBAK" "LEBAK GEDONG" "No_Status" "No_Status"
"BANTEN" "KAB. LEBAK" "LEUWIDAMAR" "Siaga" "Orange"
"BANTEN" "KAB. LEBAK" "MAJA" "Waspada" "Yellow"
"BANTEN" "KAB. LEBAK" "MALINGPING" "Waspada" "Yellow"
"BANTEN" "KAB. LEBAK" "MUNCANG" "No_Status" "No_Status"
"BANTEN" "KAB. LEBAK" "PANGGARANGAN" "Siaga" "Orange"
"BANTEN" "KAB. LEBAK" "RANGKASBITUNG" "Siaga" "Orange"
"BANTEN" "KAB. LEBAK" "SARIJA" "Siaga" "Orange"
