"Provinsi" "Kabupaten" "Kecamatan" "Status"
"BANTEN" "KAB. PANDEGLANG" "CIBALIUNG, CIKEDAL, CIKEUSIK, CIMANUK, JIPUT, KARANG TANJUNG, MUNJUL, PANDEGLANG, SAKETI" "Waspada"
"BANTEN" "KAB. PANDEGLANG" "BANJAR, CADASARI, CIBITUNG, CIGEULIS, CIMANGGU, CISATA, KADUHEJO, MAJASARI, MANDALAWANGI, MEKAR JAYA, MENES, PANIMBANG, PICUNG, PULOSARI, SOBANG, SUKARESMI, SUMUR" "Siaga"
"BANTEN" "KAB. SERANG" "BANDUNG, CIKEUSAL, CINANGKA, CIOMAS, KIBIN, MANCAK, PADARINCANG, PAMARAYAN" "Waspada"
"BANTEN" "KAB. SERANG" "ANYER, BINUANG, BOJONEGARA, CARENANG, CIKANDE, CIRUAS, GUNUNGSARI, JAWILAN, KOPO, PABUARAN, PETIR, PULOAMPEL, TANARA, TENJUNG TEJA, TIRTAYASA, WARINGINKURUNG" "Siaga"
"BANTEN" "KAB. TANGERANG" "BALARAJA, GUNUNGKALER, KRONJO, LEGOK, MAUK, PANONGAN, PASAR KEMIS, SEPATAN, SUKAMULYA" "Waspada"
"BANTEN" "KAB. TANGERANG" "CIKUPA, CISAUK, CURUG, JAMBE, KEMIRI, KOSAMBI, PAGEDANGAN, PAKUHAJI, RAJEG, SEPATAN TIMUR, SINDANGJAYA, SUKADIRI, TELUKNAGA, TIGARAKSA" "Siaga"
"BANTEN" "KAB. LEBAK" "BANJARSARI, BAYAH, BOJONGMANIK, CIBEBER, CIGEMBLONG, CIHARA, CIJAKU, CIMARGA, CIRINTEN, CURUG BITUNG, GUNUNG KENCANA, MAJA, MALINGPING, SOBANG, WARUNG GUNUNG" "Waspada"
"BANTEN" "KAB. LEBAK" "CIBADAK, CILELES, CILOGRANG, CIPANAS, LEUWIDAMAR, PANGGARANGAN, RANGKASBITUNG, SARIJA, WANASALAM" "Siaga"
"BANTEN" "KOTA SERANG" "CIPACOKJAYA, CURUG, SERANG, TAKTAKAN" "Waspada"
"BANTEN" "KOTA SERANG" "KASEMEN, WALANTAKA" "Siaga"
"BANTEN" "KOTA TANGERANG" "JATI UWUNG, PERIUK" "Waspada"
"BANTEN" "KOTA TANGERANG" "BATUCEPER, BENDA, CIBODAS, CILEDUG, CIPONDOH, KARANG TENGAH, KARAWACI, PINANG, TANGERANG" "Siaga"
"DKI JAKARTA" "KOTA JAKARTA TIMUR" "CAKUNG, CIRACAS, DUREN SAWIT, MAKASAR, PULOGADUNG" "Waspada"
"DKI JAKARTA" "KOTA JAKARTA TIMUR" "CIPAYUNG, JATINEGARA, KRAMATJATI, MATRAMAN, PASAR REBO" "Siaga"
